Study_id,Cell_id,Brand within 3s,Sound Off,Format,Platform,Question Type,Test Positive %,Control Positive %
1,Ads_only,1,1,Video,FB+IG,ad_recall,15.4%,8.7%
2,Influencer,1,1,Video,FB+IG,ad_recall,12.5%,3.0%
2,Ads_only,1,1,Video,FB+IG,ad_recall,17.0%,2.5%
3,Influencer,0,0,Mix,FB+IG,ad_recall,13.5%,10.1%
3,Ads_only,0,0,Mix,FB+IG,ad_recall,18.4%,10.0%
4,Influencer,1,0,Video,FB+IG,ad_recall,15.4%,5.4%
4,Ads_only,1,0,Video,FB+IG,ad_recall,9.7%,3.3%
5,Influencer,0,1,Image,FB+IG,ad_recall,14.5%,3.5%
5,Ads_only,0,1,Image,FB+IG,ad_recall,17.0%,4.7%
6,Influencer,1,0,Image,FB+IG,ad_recall,20.3%,4.2%
6,Ads_only,1,0,Image,FB+IG,ad_recall,16.2%,9.8%
7,Influencer,0,1,Image,FB+IG,ad_recall,14.9%,11.2%
7,Ads_only,0,1,Image,FB+IG,ad_recall,17.1%,9.8%
8,Influencer,1,1,Mix,IG,ad_recall,14.5%,8.8%
8,Ads_only,1,1,Mix,IG,ad_recall,15.7%,9.6%
9,Influencer,1,1,Video,FB,ad_recall,27.8%,23.2%
9,Ads_only,1,1,Video,FB,ad_recall,27.2%,23.3%
10,Influencer,0,1,Video,FB+IG,ad_recall,21.3%,16.2%
10,Ads_only,0,1,Video,FB+IG,ad_recall,23.0%,18.1%
11,Influencer,0,1,Video,FB+IG,ad_recall,24.8%,20.2%
11,Ads_only,0,1,Video,FB+IG,ad_recall,24.1%,19.4%
12,Influencer,1,1,Image,FB+IG,ad_recall,23.3%,16.3%
12,Ads_only,1,1,Image,FB+IG,ad_recall,22.9%,14.7%
13,Influencer,1,1,Image,FB+IG,ad_recall,23.8%,17.6%
13,Ads_only,1,1,Image,FB+IG,ad_recall,23.5%,17.0%
14,Influencer,1,1,Image,FB,ad_recall,65.5%,69.8%
14,Ads_only,1,1,Image,FB,ad_recall,49.1%,65.2%
15,Influencer,1,1,Image,FB+IG,ad_recall,24.8%,12.7%
15,Ads_only,1,1,Image,FB+IG,ad_recall,21.3%,13.0%
1,Ads_only,1,1,Video,FB+IG,brand_awareness,59.6%,40.2%
2,Influencer,1,1,Video,FB+IG,brand_awareness,6.4%,4.1%
2,Ads_only,1,1,Video,FB+IG,brand_awareness,6.7%,7.8%
3,Influencer,0,0,Mix,FB+IG,brand_awareness,9.4%,5.5%
3,Ads_only,0,0,Mix,FB+IG,brand_awareness,11.8%,11.2%
4,Influencer,1,0,Video,FB+IG,brand_awareness,7.8%,7.2%
4,Ads_only,1,0,Video,FB+IG,brand_awareness,9.5%,6.3%
5,Influencer,0,1,Image,FB+IG,brand_awareness,20.2%,10.0%
5,Ads_only,0,1,Image,FB+IG,brand_awareness,20.4%,14.0%
6,Influencer,1,0,Image,FB+IG,brand_awareness,30.4%,27.0%
6,Ads_only,1,0,Image,FB+IG,brand_awareness,34.9%,23.6%
7,Influencer,0,1,Image,FB+IG,brand_awareness,26.5%,4.6%
7,Ads_only,0,1,Image,FB+IG,brand_awareness,6.3%,3.0%
8,Influencer,1,1,Mix,IG,brand_awareness,21.0%,21.7%
8,Ads_only,1,1,Mix,IG,brand_awareness,22.2%,13.2%
9,Influencer,1,1,Video,FB,brand_awareness,19.0%,10.6%
9,Ads_only,1,1,Video,FB,brand_awareness,17.1%,12.1%
10,Influencer,0,1,Video,FB+IG,brand_awareness,51.0%,75.2%
10,Ads_only,0,1,Video,FB+IG,brand_awareness,73.6%,63.1%
11,Influencer,0,1,Video,FB+IG,brand_awareness,40.2%,40.3%
11,Ads_only,0,1,Video,FB+IG,brand_awareness,45.5%,47.7%
12,Influencer,1,1,Image,FB+IG,brand_awareness,52.5%,56.6%
12,Ads_only,1,1,Image,FB+IG,brand_awareness,52.9%,51.9%
13,Influencer,1,1,Image,FB+IG,brand_awareness,3.5%,4.3%
13,Ads_only,1,1,Image,FB+IG,brand_awareness,5.2%,4.5%
14,Influencer,1,1,Image,FB,brand_awareness,15.7%,36.4%
14,Ads_only,1,1,Image,FB,brand_awareness,15.7%,9.4%
15,Influencer,1,1,Image,FB+IG,brand_awareness,41.9%,41.9%
15,Ads_only,1,1,Image,FB+IG,brand_awareness,17.4%,19.4%
1,Ads_only,1,1,Video,FB+IG,purchase_intent,20.76%,14.79%
2,Influencer,1,1,Video,FB+IG,purchase_intent,23.9%,21.4%
2,Ads_only,1,1,Video,FB+IG,purchase_intent,26.0%,24.4%
3,Influencer,0,0,Mix,FB+IG,purchase_intent,22.0%,20.0%
3,Ads_only,0,0,Mix,FB+IG,purchase_intent,23.2%,20.1%
4,Influencer,1,0,Video,FB+IG,purchase_intent,23.8%,6.82%
4,Ads_only,1,0,Video,FB+IG,purchase_intent,23.7%,17.8%
5,Influencer,0,1,Image,FB+IG,purchase_intent,23.2%,16.2%
5,Ads_only,0,1,Image,FB+IG,purchase_intent,23.5%,15.2%
6,Influencer,1,0,Image,FB+IG,purchase_intent,13.46%,11.42%
6,Ads_only,1,0,Image,FB+IG,purchase_intent,13.09%,13.35%
7,Influencer,0,1,Image,FB+IG,purchase_intent,8.66%,14.0%
7,Ads_only,0,1,Image,FB+IG,purchase_intent,8.45%,9.04%
8,Influencer,1,1,Mix,IG,purchase_intent,11.62%,11.85%
8,Ads_only,1,1,Mix,IG,purchase_intent,11.56%,12.61%
9,Influencer,1,1,Video,FB,purchase_intent,10.1%,37.78%
9,Ads_only,1,1,Video,FB,purchase_intent,10.4%,36.32%
10,Influencer,0,1,Video,FB+IG,purchase_intent,24.10%,24.75%
10,Ads_only,0,1,Video,FB+IG,purchase_intent,14.0%,27.9%
11,Influencer,0,1,Video,FB+IG,purchase_intent,30.21%,31.7%
11,Ads_only,0,1,Video,FB+IG,purchase_intent,29.80%,25.79%
